date,symbol,marketcapname,sector
28-03-2023,WSI,Smallcap,Realty
28-03-2023,SBCL,Smallcap,FMCG
28-03-2023,TEMBO,Smallcap,Services
28-03-2023,CAREERP,Smallcap,Services
29-03-2023,ASIANHOTNR,Smallcap,Services
29-03-2023,VARDMNPOLY,Smallcap,Textiles
29-03-2023,VSSL,Smallcap,Metals
31-03-2023,INGERRAND,Midcap,FMCG
31-03-2023,WSI,Smallcap,Realty
31-03-2023,AHLUCONT,Midcap,Realty
31-03-2023,ZENTEC,Midcap,I.T
31-03-2023,DRCSYSTEMS,Smallcap,I.T
31-03-2023,POLICYBZR,Largecap,I.T
03-04-2023,INGERRAND,Midcap,FMCG
03-04-2023,TTKHLTCARE,Smallcap,Miscellaneous
03-04-2023,VARDMNPOLY,Smallcap,Textiles
03-04-2023,FOCUS,Smallcap,FMCG
03-04-2023,ASHAPURMIN,Smallcap,Industrials
03-04-2023,NUCLEUS,Smallcap,I.T
03-04-2023,APARINDS,Largecap,FMCG
03-04-2023,GLENMARK,Largecap,Pharmaceuticals
03-04-2023,JBMA,Midcap,Auto
03-04-2023,NITINSPIN,Smallcap,Textiles
03-04-2023,TIIL,Smallcap,Metals
03-04-2023,TITAGARH,Midcap,FMCG
03-04-2023,ZENTEC,Midcap,I.T
03-04-2023,DRCSYSTEMS,Smallcap,I.T
03-04-2023,MAFANG,Smallcap,Indices
05-04-2023,KIRLOSIND,Smallcap,Finance
05-04-2023,KSB,Midcap,FMCG
05-04-2023,SMLISUZU,Smallcap,Auto
05-04-2023,TTKHLTCARE,Smallcap,Miscellaneous
05-04-2023,VARDMNPOLY,Smallcap,Textiles
05-04-2023,PRICOLLTD,Smallcap,Auto
05-04-2023,ANANTRAJ,Midcap,Realty
05-04-2023,ARROWGREEN,Smallcap,FMCG
05-04-2023,ADORWELD,Smallcap,FMCG
05-04-2023,FOCUS,Smallcap,FMCG
05-04-2023,LINC,Smallcap,Miscellaneous
05-04-2023,ANMOL,Smallcap,Services
05-04-2023,CYIENT,Midcap,I.T
05-04-2023,APARINDS,Largecap,FMCG
05-04-2023,TIIL,Smallcap,Metals
05-04-2023,VSSL,Smallcap,Metals
06-04-2023,FINCABLES,Midcap,Industrials
06-04-2023,LGBBROSLTD,Smallcap,Auto
06-04-2023,WSI,Smallcap,Realty
06-04-2023,TTKHLTCARE,Smallcap,Miscellaneous
06-04-2023,CHOLAFIN,Largecap,Finance
06-04-2023,USHAMART,Midcap,Metals
06-04-2023,AXISILVER,Smallcap,Indices
06-04-2023,NEULANDLAB,Midcap,Pharmaceuticals
06-04-2023,ICEMAKE,Smallcap,FMCG
06-04-2023,ASHAPURMIN,Smallcap,Industrials
06-04-2023,STERTOOLS,Smallcap,Industrials
06-04-2023,IRISDOREME,Smallcap,Textiles
06-04-2023,LINC,Smallcap,Miscellaneous
06-04-2023,ANMOL,Smallcap,Services
06-04-2023,ATULAUTO,Smallcap,Auto
06-04-2023,KSOLVES,Smallcap,I.T
