SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
IBULHSGFIN,SEC RE NCD 9.71% SR.VIII,960,980.99,980.99,980.98,980.98,10790.88,11, ,3,999,800
IBULHSGFIN,SEC RE NCD 9.65% SR I,975,975,975,975,975,9750,10, ,1,1148,900.1
IBULHSGFIN,SEC RE NCD 9.48% SR V,994.99,960,960,960,960,1920,2, ,1,1065,901.1
IBULHSGFIN,SEC RE NCD 9.65% SR I,975,975,975,971,971,34105,35, ,2,1019.22,910.2
IBULHSGFIN,SEC RE NCD SR III,935,961.95,961.95,961.95,961.95,961.95,1, ,1,961.95,930
CHOLAFIN,SEC RE NCD 8.25% SR.I,1047.99,1045,1045,1040,1040,67875,65, ,4,1050,1000
IMC1,SEC RE NCGB 8.25% STRPP A,253.1,250,252,250,252,5020,20, ,2,265.98,215.15
NAVIFIN,SEC RE NCD 9.75% SR. I,990,985.07,986,984,984.01,232441.44,236,XI,13,1007,984
PEL,SEC RE NCD 9.00% SR I,1000,1000,1000,1000,1000,30000,30, ,1,1001,990
IMC1,SEC RE NCGB 8.25% STRPP B,250,249.2,256,249.2,250.56,30597.6,120, ,4,261.64,240
IREDA,IREDA 8.16NCDTR I SR I A,1494.27,1494.27,1700,1494.27,1674.16,85308.08,53, ,31,1700,1080
NHIT,SEC RE NCD 7.90% STRPP A,300.5,301,301,300.25,300.5,608358.5,2023, ,26,318.79,295
PEL,SEC RE NCD 9.05% SR II,1000,1000,1000,994.01,997,611347.3,612, ,19,1000,991
UGROCAP,SEC RED NCD 10.03%,336.02,336.02,336.02,336,336.01,315184.8,938,XI,12,707,300
ABFL,SEC RE NCD 8.05% SR III,840,925,925,925,925,925,1, ,1,1005,840
HUDCO,8.20 NCD05MAR27 FV 1000,1150.14,1152,1152,1152,1152,141696,123, ,3,1225,1005.99
IMC1,SEC RE NCGB 8.25% STRPP C,250,245.6,256.9,245.6,255.11,45911.52,181, ,8,284,241.8
INCREDFIN,SEC RE NCD 9.25% SR.II,1058,1058.25,1058.25,1058.25,1058.25,21165,20, ,1,1105,956.7
IREDA,IREDA 8.55NCDTR I SR II A,1181.3,1157.68,1192,1157.68,1192,61146.16,52, ,9,1449.99,1080.1
IRFC,BOND 8.10% PA TAX FREE S2,1092,1094.99,1096,1089,1089,1436428.11,1317, ,16,1180,1065
M&MFIN,9.00% UNSECURED NCD,1055.64,1060,1080,1055.15,1055.15,43671.5,41, ,6,1119.9,1017
NABARD,7.64% TAX FREE TRI SRIIB,1175,1172.5,1173,1171,1172.94,2244882.56,1916, ,10,1213,1062.3
NHAI,BOND 8.30% PA TAX FREE S2,1102.93,1102.05,1107,1096,1103.6,2365521.85,2149, ,22,1177,1060.1
NHIT,SEC RE NCD 7.90% STRPP B,302.14,301.46,302.25,301.45,302.25,142319.5,472, ,7,320.21,299
RECLTD,TAXFREE SEC NCD TR1 S2,1060.16,1124.99,1124.99,1066.99,1066.99,1078239.9,1010, ,3,1155,1041.47
BRITANNIA,UNSEC RED NCD 5.50%,29.36,29.13,29.37,29.13,29.34,41434.09,1413, ,73,31,28
IIFCL,8.66% TAX FREE NCD,1344.92,1330,1330,1330,1330,429590,323, ,3,1348,1285
IMC1,SEC RE NCGB 8.25% STRPP D,254,247.65,247.65,247.65,247.65,2476.5,10, ,1,268.55,218
NAVIFIN,SEC RE NCD 9.40% SR. III,1000,999.99,999.99,999.99,999.99,999.99,1, ,1,1011,974.03
NHIT,SEC RE NCD 7.90% STRPP C,402.86,405,405,401.75,402.87,148489.18,369, ,7,428.46,392
PEL,SEC RE NCD 9.35% SR IV,998,998.01,998.01,995,995,498085.89,500, ,18,1001,983
PFC,7.60% TAX FREE NCD,1275,1195,1195,1195,1195,16730,14, ,1,1279.84,1160
CHOLAFIN,SEC RE NCD 8.40% SR.V,1030,1035,1036,1032,1035.78,138720,134, ,6,1044,995
IBULHSG,SEC RE NCD 10.25% SR XII,983.52,990,990,980,982.99,357955,363, ,38,1001,900
IIHFL,UNSEC RE NCD 10% SR.I,985.83,995,995,980,980,103210,105, ,4,1149,925
INCREDFIN,SEC RE NCD 9.45% SR.I,982.01,985,985,983,983.7,29531.1,30, ,5,1015.03,981
IRFC,7.34 NCD 19FEB28 TR1 SR2,1088.24,1088,1088,1084,1084,82468,76, ,4,1169.9,1050.5
NAVIFIN,SEC RE NCD 9.75% SR. IV,1020,1021.14,1021.14,1020,1020,510212.08,500, ,6,1231.5,985
NHAI,8.52% TAX FREE TR I S IB,1084.59,1090,1094.85,1065.2,1090,94820.19,87, ,19,1189,1015
TATACAPHSG,SEC RED NCD 8.01% SR.II,1019,996,1019.5,995.05,1000.36,609363.64,608, ,21,1100.01,990.13
UGROCAP,SEC RED NCD 10.40% SR.III,991.75,991,999,991,999,80295,81, ,3,1085,951
ABFL,SEC RE NCD 8.10% SR VI,1008,1010,1010,1009,1009,154397,153, ,3,1030,993
CREDITACC,SEC RE NCD 10% SR. V,1019.95,1016.8,1018.95,1003,1018.95,428438.48,424, ,10,1072,1000
ERFLNCDI,SEC RED NCD 8.88% SR. V,902,903,910.9,901,910.9,595665.3,660, ,12,970,825.8
HUDCO,7.51 NCD 16FEB28 TR1 SR2,1149,1149,1149,1136.14,1136.21,498585.39,438, ,6,1170,1031.5
IIHFL,UNSEC RE NCD 9.60% SR.II,971.68,978,978,973,974.41,779895.59,800, ,25,1012,965
IREDA,IREDA 8.80NCDTR I SR II B,1208.2,1209,1209,1208,1208,60411,50, ,4,1299.99,1133.76
NAVIFIN,SEC RE NCD 10.25% SR.II,1001,998,998,996,997.9,1271818.8,1275,XI,16,1006,982
NHAI,8.50% TAX FREE TR I S IIA,1233.8,1233.9,1249.99,1118.31,1249.99,307515.01,248, ,14,1374,1081.1
NIDO,SEC RED NCD 9.57% SR. V,982,983,983,970,970,128370,131, ,5,1024.9,939
PFC,8.30% TAX FREE NCD,1096,1095,1095,1092.6,1092.6,383132.4,350, ,3,1179.9,1054
DHANILOANS,DHANI LOANS & SERV LTD,995,995,995,995,995,53730,54, ,5,1179,955
IIFL,UNSEC RED NCD 10.0% SR. V,1010,1019,1019,1011,1013.54,200249,197, ,5,1078,1000
IIHFL,UNSEC RE NCD 0% SR.III,1103.5,1102.37,1102.37,1102.27,1102.32,2204.64,2, ,2,1299.9,1046.1
NHAI,8.75% TAX FREE TR I S IIB,1220.96,1224.82,1224.82,1215.1,1219.8,3050784.4,2501, ,38,1269,1150
NHBTF2014,BOND 9.01%PA TF TR-I S 3B,6878.77,6890,6890,6875,6888,419431.24,61, ,10,7102.4,5775
NTPC,8.91%S-R-NCD SERIES 3B,1352.57,1258,1275,1258,1275,235025,185,XI,3,1425,1258
PCHFL,SEC RE NCD 8.50% SR.III,1019,1020,1020,1019,1019.21,366915,360, ,11,1079,985.05
